tr isim,os_isim ,ebced,mağribi ebced,,,,
Abdusselam, عبد السلام,238,478,,,,
Alaaddin, علاء الدين,197,197,,,,
Aleyna, علينا,161,161,,,,
Atiye, آتیه,416,416,,,,
Baha, بهاء,9,9,,,,
Bahattin, بَهاءالدین,104,104,,,,
Gani, غنيّ,1060,960,,,,
Hadi, هادی,20,20,,,,
Hansa, خَنْسَاء,712,952,,,,
Hüsamettin, حسام الدين,204,444,,,,
Cumhuriyet, جمهوريت,664,664,,,,
Mümin, مؤمن,137,137,,,,
Ahmed, أحمد,53,53,,,,
Yagmur, ياغمور,1257,1157,,,,
Fatmasu, فاطمة صو,231,201,,,,
Fatıma, فاطمة,135,135,,,,
Zühre, زوهرة,223,223,,,,
Ozge, اوزكه,39,39,,,,
Resmiye, رسمیة,315,555,,,,
Omer, عمر,310,310,,,,
Gulsen, كولشن,406,1106,,,,
Gulşen, كولشن,406,1106,,,,
Niymet, نعمت,560,560,,,,
Ummuhan, امّ خان,692,692,,,,
ummahan, امّ خان,692,692,,,,
Ebu Zer, أبو ذر,909,909,,,,
Abuzer, أبو ذر,909,909,,,,
Ebuzer, ابوذر,909,909,,,,
Cihad, جهاد,13,13,,,,
Sebahattin, صباحالدّين,196,166,,,,
Nazli, نازلى,89,89,,,,
Öztekin, اوزتكين,494,494,,,,
Alirıza, علي رضا,1111,401,,,,
Albert, ألبرت,633,633,,,,
Einstein, أينشتاين,822,1522,,,,
Pauline, پولين,98,98,,,,
Hermann, هيرمان,306,306,,,,
Nejla, نجلاء,85,85,,,,
Şakir, شاکر,521,1221,,,,
Cumhur, جمهور,254,254,,,,
Ozcan, اوزجان,68,68,,,,
selehattin, صلاحالدّين,224,194,,,,
Dede, ده ده,18,18,,,,
Sebahat, صباحت,501,471,,,,
Nejdet, نجدت,457,457,,,,
Şehriye, شهريه,520,1220,,,,
Mumin, مؤمن,137,137,,,,
Eşe, أشه,306,1006,,,,
Ayse, عائشة,387,1087,,,,
Sebiha, صبيحه,115,85,,,,
Tevfik, توفيق,596,596,,,,
Emsal, امثال,572,572,,,,
Hava, حوا,15,15,,,,
serdal, سردال,295,535,,,,
Muhiddin, محي الدين,153,153,,,,
Muhittin, محیی‌الدین,163,163,,,,
Cenap, جناب,56,56,,,,
Doğuş, دوغوش,1316,1916,,,,
Hurşit, خورشيد,1120,1820,,,,
Ersal, ارسال,292,532,,,,
Şahabeddin, شهاب الدين,403,1103,,,,
Şahabettin, شهاب الدين,403,1103,,,,
Sezgin, سزگين,147,387,,,,
Düriye, دريه,219,219,,,,
Abdulazim, عبدالعظیم,1127,1027,,,,
abdulcebbar, عبدالجبار,313,313,,,,
Abdulhalim, عبدالحلیم,195,195,,,,
Abdulhey, عبدالحی,125,125,,,,
Abdurrafi, عبدالرافع,458,458,,,,
Abdurraşit, عبدالرشید,621,1321,,,,
Afak, آفاق,182,182,,,,
Afşin, اَفشین,441,1141,,,,
Ahenk, آهنگ,76,76,,,,
Ahmet Ali, احمدعلی,163,163,,,,
Ahmet Rıza, احمدرضا,1054,344,,,,
Ahmet Talha, احمدطاها,69,69,,,,
Ala, آلا,32,32,,,,
Ali Ekber, علی‌اکبر,333,333,,,,
Ali Paşa, علی‌پاشا,414,1114,,,,
Almira, المیرا,282,282,,,,
Altın, آلتین,491,491,,,,
Amanda, اَماندا,97,97,,,,
Amir, عامِر,311,311,,,,
Ammar, عَمار,311,311,,,,
Anise, آنیسا,122,362,,,,
Arafat, عَرفات,751,751,,,,
Arafe, عَرَفه,355,355,,,,
Aral, آرال,232,232,,,,
Aras, آراس,262,502,,,,
Araz, آراز,209,209,,,,
Arife Zehra, عارفه‌زهرا,569,569,,,,
Armin, آرمین,301,301,,,,
Armina, آرمینا,302,302,,,,
Armine, آرمینه,306,306,,,,
Arş, عرش,570,1270,,,,
Arşan, آرشان,552,1252,,,,
Artan, آرتان,652,652,,,,
Asil, اصیل,131,101,,,,
Asim, آسیم,111,351,,,,
Asker, عسکر,350,590,,,,
Atanaz, آتاناز,460,460,,,,
Atena, آتنا,452,452,,,,
Ateş, آتش,701,1401,,,,
Atlas, اطلس,100,340,,,,
Ayaz, اَیاز,19,19,,,,
Aynaz, آیناز,69,69,,,,
Aynuş, آینوش,367,1067,,,,
Aysan, آیسان,122,362,,,,
Ayşen, آی‌شن,361,1061,,,,
Ayşin, آیشین,371,1071,,,,
Azad, آزاد,13,13,,,,
Azizullah, عزیزالله,160,160,,,,
bahire, باهِره,213,213,,,,
Basil, باسِل,93,333,,,,
Basiret, بَصیرت,702,672,,,,
Basit, باسِط,72,312,,,,
Bediuzzaman, بَدیع‌الزمان,215,215,,,,
Behlül, بُهلول,73,73,,,,
Behzat, بِهزاد,19,19,,,,
Bektaş, بَکتاش,723,1423,,,,
Bereket, بَرکت,622,622,,,,
Bersam, بَرسام,303,543,,,,
Berşam, بَرشام,543,1243,,,,
Beşar, بَشار,503,1203,,,,
Bidar, بیدار,217,217,,,,
Bina, بینا,63,63,,,,
Burhaneddin, بُرهان‌الدین,353,353,,,,
Büstan, بوستان,519,759,,,,
Cabbar, جبار,206,206,,,,
Cabir, جابر,206,206,,,,
Cafer, جعفر,353,353,,,,
Canyar, جانیار,265,265,,,,
Cavidan, جاویدان,75,75,,,,
Cavit, جاوید,24,24,,,,
Celaleddin, جلال‌الدین,159,159,,,,
Celiliddin, جلیل‌الدین,168,168,,,,
Cemşit, جمشید,357,1057,,,,
Cennat, جَنات,454,454,,,,
Cercis, جرجیس,276,516,,,,
Cibril, جبریل,245,245,,,,
Civanmert, جوانمرد,304,304,,,,
Çabuk, چابک,26,26,,,,
Çavuş, چاووش,316,1016,,,,
Çehre, چهره,213,213,,,,
Daime, دائمه,61,61,,,,
Danyal, دانیال,96,96,,,,
Delile, دلیله,79,79,,,,
Destan, دَستان,515,755,,,,
Deyyan, دَیّان,65,65,,,,
Dindar, دیندار,269,269,,,,
Diyana, دیانا,66,66,,,,
Diyar, دیار,215,215,,,,
Dora, دُرا,205,205,,,,
Dünya, دنیا,65,65,,,,
Eflatun, افلاطون,177,177,,,,
Efşan, اَفشان,432,1132,,,,
Ekber, اکبر,223,223,,,,
Emina, امینا,102,102,,,,
Eminullah, امین‌الله,167,167,,,,
Eminüddin, امین‌الدین,196,196,,,,
Emir Adnan, امیرعدنان,426,426,,,,
Emir Bahadır, امیربهادر,463,463,,,,
Emir Behzat, امیربهزاد,270,270,,,,
Emir Cavit, امیرجاوید,275,275,,,,
Emir Cevat, امیرجواد,265,265,,,,
Emir Erman, امیرآرمن,542,542,,,,
Emir Eyyüp, امیرایوب,270,270,,,,
Emir Fazlullah, امیرفضل‌الله,1227,517,,,,
Emir Haşem, امیرهاشم,597,1297,,,,
Emir Himmet, امیرهمت,696,696,,,,
Emir Hümayun, امیرهمایون,363,363,,,,
Emir İrfan, امیرعرفان,652,652,,,,
Emir Mansur, امیرمنصور,637,607,,,,
Emir Mehdi, امیرمهدی,310,310,,,,
Emir Merdan, امیرمردان,546,546,,,,
Emir Mesut, امیرمسعود,431,671,,,,
Emir Metin, امیرمتین,751,751,,,,
Emir Muhsin, امیرمحسن,409,649,,,,
Emir Muzaffer, امیرمظفر,1471,1371,,,,
Emir Nizam, امیرنظام,1242,1142,,,,
Emir Raşit, امیررشید,765,1465,,,,
Emir Rıza, امیررضا,1252,542,,,,
Emir Sadık, امیرصادق,446,416,,,,
Emir Salih, امیرصالح,380,350,,,,
Emir Suheyl, امیرسهیل,356,596,,,,
Emir Vahit, امیروحید,279,279,,,,
Emir Yasin, امیریاسین,382,622,,,,
Emir Yedullah, امیریدالله,331,331,,,,
Endişe, اندیشه,370,1070,,,,
Enfal, اَنفال,162,162,,,,
Enuş, اَنوش,357,1057,,,,
Erdevan, اَردوان,262,262,,,,
Ersam, اَرسام,302,542,,,,
Ersan, آرسان,312,552,,,,
Erşam, اَرشام,542,1242,,,,
Erşan, اَرشان,552,1252,,,,
Erşin, اَرشین,561,1261,,,,
Esedullah, اسدالله,131,371,,,,
Eset, اَسد,65,305,,,,
Esmer, اَسمر,301,541,,,,
Esrin, اَسرین,321,561,,,,
Fazlullah, فضل‌الله,976,266,,,,
Ferah, فَرح,288,288,,,,
Ferzan, فرزان,338,338,,,,
Feyzullah, فیض‌الله,956,246,,,,
Firaset, فراست,741,981,,,,
Firuze, فیروزه,308,308,,,,
Füruzan, فروزان,344,344,,,,
Gülbahar, گل بهار,258,258,,,,
Güldane, گلدانه,110,110,,,,
Gülnar, گلنار,301,301,,,,
Gülru, گلرو,256,256,,,,
Habibullah, حبیب الله,88,88,,,,
Hadis, حدیث,522,522,,,,
Hadise, حدیثه,527,527,,,,
Hafizullah, حفیظ‌الله,1064,964,,,,
Hakim, حکیم,78,78,,,,
Halife, حلیفه,133,133,,,,
Halile, خلیله,675,675,,,,
Halilullah, خلیل‌الله,736,736,,,,
Halilurrahman, خلیل‌الرحمان,1000,1000,,,,
Hamdullah, حمدالله,118,118,,,,
Hami, حامی,59,59,,,,
Hamidullah, حمیدالدین,157,157,,,,
Hammat, حَمّاد,53,53,,,,
Haniye, حانیه,74,74,,,,
Hannan, حَنّان,109,109,,,,
Hanzala, حَنظله,993,893,,,,
Hasna, حَسْنا,119,359,,,,
Haşmet, حشمت,748,1448,,,,
Haşmetullah, حشمت‌الله,814,1514,,,,
Hatıra, خاطِره,815,815,,,,
Havar, خاور,807,807,,,,
Haydar Ali, حیدرعلی,332,332,,,,
Hayyam, خیام,651,651,,,,
Heybetullah, هیبت‌الله,483,483,,,,
Hicret, هجرت,608,608,,,,
Himmet, هِمت,445,445,,,,
Himmetullah, هِمت‌الله,511,511,,,,
Hirat, هیراد,220,220,,,,
Huccet, حُجت,411,411,,,,
Huccetullah, حُجت‌الله,477,477,,,,
Humeyra, حمیرا,259,259,,,,
Hurriye, حُریه,223,223,,,,
Hüda, هُدی,19,19,,,,
Hümayun, هُمایون,112,112,,,,
Hür, هور,211,211,,,,
Hürmet, حُرمت,648,648,,,,
Hürmuz, هرمز,252,252,,,,
Hürşat, هورشاد,516,1216,,,,
Hürşit, هورشید,525,1225,,,,
Ismet, عصمت,600,570,,,,
İftihar, اِفتخار,1282,1282,,,,
İkram, اِکرام,262,262,,,,
İlay, ایل‌آی,52,52,,,,
İlize, اِلیزه,53,53,,,,
İlnaz, اِلناز,89,89,,,,
İltica, اِلتِجا,435,435,,,,
İltifat, اِلتفات,912,912,,,,
İnayet, عنایت,531,531,,,,
İntisar, اِنتصار,742,712,,,,
İran, ایران,262,262,,,,
İrşat, اِرشاد,506,1206,,,,
İslam, اسلام,132,372,,,,
İtibar, اِعتبار,674,674,,,,
İtimat, اِعتماد,516,516,,,,
İzzetullah, عزت‌الله,543,543,,,,
Kadim, قدیم,154,154,,,,
Kadire, قدیره,319,319,,,,
Kamus, کاموس,127,367,,,,
Kelimullah, کلیم الله,166,166,,,,
Kemalettin, کمال‌الدین,186,186,,,,
Keramet, کرامت,661,661,,,,
Keykubat, کِیقباد,137,137,,,,
Kimya, کیمیا,81,81,,,,
Kutsi, قُدسی,174,414,,,,
Laçin, لاچین,94,94,,,,
Lalezar, لاله‌زار,274,274,,,,
Latif, لَطیف,129,129,,,,
Letafet, لطافت,520,520,,,,
Lütfullah, لطف‌الله,185,185,,,,
Mahbube, محبوبه,63,63,,,,
Mahbup, محبوب,58,58,,,,
Mahcihan, ماه‌جهان,105,105,,,,
Mahcup, محجوب,59,59,,,,
Mahide, ماهِده,55,55,,,,
Mahmude, محموده,103,103,,,,
Mahpeyker, ماه‌پیکر,278,278,,,,
Mahya, مَحیا,59,59,,,,
Maksude, مقصوده,245,215,,,,
Mardin, ماردین,305,305,,,,
Marifet, معرفت,790,790,,,,
Marifetullah, معرفت‌الله,856,856,,,,
Marziye, مَرضیه,1055,345,,,,
Masum, معصوم,246,216,,,,
Masume, معصومه,251,221,,,,
Maşaallah, ماشاءالله,409,1109,,,,
Maviş, ماویش,357,1057,,,,
Mazhar, مَظهر,1145,1045,,,,
Melihe, مَلیحه,93,93,,,,
Memduh, مَمدوح,98,98,,,,
Meram, مَرام,281,281,,,,
Merhamet, مرحمت,688,688,,,,
Mersin, مَرسین,360,600,,,,
Mesih, مسیح,118,358,,,,
Mesrur, مَسرور,506,746,,,,
Mesture, مَستوره,711,951,,,,
Meşhur, مشهور,551,1251,,,,
Meşkat, مشکات,761,1461,,,,
Metanet, متانت,891,891,,,,
Meyhoş, میخوش,956,1656,,,,
Meymanat, میمنت,540,540,,,,
Mezit, مَزید,61,61,,,,
Mihban, مِهبان,98,98,,,,
Mihrak, مِهرک,265,265,,,,
Mihrap, مِهراب,248,248,,,,
Mihri, مِهری,255,255,,,,
Mihribanu, مِهربانو,304,304,,,,
Milat, میلاد,85,85,,,,
Mirsat, مِرصاد,335,305,,,,
Mirşat, میرشاد,555,1255,,,,
Misak, میثاق,651,651,,,,
Muazzam, مُعظم,1050,950,,,,
Mucip, مُجیب,55,55,,,,
Mucit, مَجید,57,57,,,,
Muhabbet, محبت,450,450,,,,
Muhacir, مُهاجر,249,249,,,,
Muhaddis, مُحَدِث,552,552,,,,
Muhit, محیط,67,67,,,,
Muhsine, محسنه,163,403,,,,
Muhterem, محترم,688,688,,,,
Muhteşem, محتشم,788,1488,,,,
Musaddık, مصدق,234,204,,,,
Muttaki, متقی,550,550,,,,
Mübin, مبین,102,102,,,,
Müferrah, مُفَرِح,328,328,,,,
Müfide, مُفیده,139,139,,,,
Müfit, مُفید,134,134,,,,
Müjde, مژده,56,56,,,,
Mükerrem, مُکَرم,300,300,,,,
Mülayim, ملایم,121,121,,,,
Mümtaz, ممتاز,488,488,,,,
Münip, مُنیب,102,102,,,,
Mürivvet, مُروت,646,646,,,,
Mürsel, مُرسَل,330,570,,,,
Müşfik, مشفق,520,1220,,,,
Müştak, مشتاق,841,1541,,,,
Mütevekkil, متوکل,496,496,,,,
Nafile, نافله,166,166,,,,
Nahit, ناهید,70,70,,,,
Nara, نارا,252,252,,,,
Nâsıreddin, ناصرالدین,436,406,,,,
Nasraddin, نَصرالدین,435,405,,,,
Nasrullah, نَصرالله,406,376,,,,
Natık, ناطق,160,160,,,,
Nazanin, نازنین,168,168,,,,
Nazperi, نازپری,270,270,,,,
Nebi, نَبی,62,62,,,,
Nebiyullah, نَبی‌الله,128,128,,,,
Necat, نِجات,454,454,,,,
Necibettin, نَجیب‌الدین,160,160,,,,
Neime, نَعیمه,175,175,,,,
Nerimen, نَریمن,350,350,,,,
Neşat, نشاط,360,1060,,,,
Neşvet, نشواد,361,1061,,,,
Nevbahar, نوبهار,264,264,,,,
Nimetullah, نِعمت‌الله,626,626,,,,
Nirvan, نیروان,317,317,,,,
Niyavent, نیاوند,121,121,,,,
Niyaz, نیاز,68,68,,,,
Nizamettin, نِظام‌الدین,1086,986,,,,
Nurulayn, نورالعین,417,417,,,,
Nurulhak, نورالحق,395,395,,,,
Nusretullah, نُصرت‌الدین,835,805,,,,
Payam, پَیام,53,53,,,,
Pehlivan, پهلوان,94,94,,,,
Peri, پری,212,212,,,,
Perigül, پری‌گل,262,262,,,,
Perinaz, پری‌ناز,270,270,,,,
Rafet, رأفت,681,681,,,,
Rafetullah, رأفت‌الله,747,747,,,,
Rahim, رحیم,258,258,,,,
Rahman, رحمان,299,299,,,,
Rahmetullah, رحمت‌الله,714,714,,,,
Rahşan, رَخشان,1151,1851,,,,
Rasul, رَسول,296,536,,,,
Rauf, رئوف,297,297,,,,
Ravi, راوی,217,217,,,,
Ressam, رَسام,301,541,,,,
Ruhullah, روح‌الله,280,280,,,,
Rüstem, رُستم,700,940,,,,
Rüşdiye, رُشدیّه,519,1219,,,,
Saba, سبا,63,303,,,,
Sabih, صَبیح,110,80,,,,
Sadakat, صداقت,595,565,,,,
Sadri, صدری,304,274,,,,
Sahabe, صاحبه,106,76,,,,
Sahil, ساحل,99,339,,,,
Salahuttin, صلاح‌الدین,224,194,,,,
Samira, سَمیرا,311,551,,,,
Saray, سارای,272,512,,,,
Sare, ساره,266,506,,,,
Sayan, سایان,122,362,,,,
Sehlan, ثَهلان,586,586,,,,
Selamet, سَلامت,531,771,,,,
Senaullah, ثَناءالله,618,618,,,,
Serment, سَرمد,304,544,,,,
Settar, سَتار,661,901,,,,
Sevin, سوین,126,366,,,,
Sevinc, سوینج,129,369,,,,
Seyfettin, سِیف‌الدین,245,485,,,,
Sufi, صوفی,186,156,,,,
Sunay, سُونای,127,367,,,,
Sur, سُور,266,506,,,,
Surahi, صُراحی,309,279,,,,
Suut, سُعود,140,380,,,,
Sülale, سُلاله,126,366,,,,
Süna, سُونا,117,357,,,,
Süraye, سُرایه,276,516,,,,
Sürur, سُرور,466,706,,,,
Şadan, شادان,356,1056,,,,
Şadıman, شادمان,396,1096,,,,
Şahide, شاهیده,325,1025,,,,
Şahit, شاهد,310,1010,,,,
Şanlı, شانلی,391,1091,,,,
Şarmin, شارمین,601,1301,,,,
Şayan, شایان,362,1062,,,,
Şefaat, شفاعت,851,1551,,,,
Şefike, شفیقه,495,1195,,,,
Şehabettin, شهاب‌الدین,403,1103,,,,
Şehbaz, شهباز,315,1015,,,,
Şehre, شهره,510,1210,,,,
Şehriyar, شهریار,716,1416,,,,
Şekibe, شکیبا,333,1033,,,,
Şekip, شکیب,332,1032,,,,
Şemide, شَمیده,359,1059,,,,
Şemis, شمیس,410,1350,,,,
Şems, شمس,400,1340,,,,
Şemsi, شمسی,410,1350,,,,
Şerafettin, شَرف‌الدین,675,1375,,,,
Şeriat, شریعت,980,1680,,,,
Şervin, شروین,566,1266,,,,
Şuayip, شُعَیب,382,1082,,,,
Şukufe, شکوفه,411,1111,,,,
Tahire, طاهره,220,220,,,,
Tahmin, تهمین,505,505,,,,
Tamara, تامارا,643,643,,,,
Tanış, تانیش,761,1461,,,,
Tanin, طنین,119,119,,,,
Tarak, تارک,621,621,,,,
Tarhan, تَرخان,1251,1251,,,,
Tarif, طارف,290,290,,,,
Tasnim, تسنیم,560,800,,,,
Tavus, طاووس,82,322,,,,
Taylan, تایلان,492,492,,,,
Taymaz, تایماز,459,459,,,,
Taynur, تای‌نور,667,667,,,,
Tayyibe, طَیبه,26,26,,,,
Tebessüm, تبسم,502,742,,,,
Tecelli, تَجلی,443,443,,,,
Tevhit, توحید,428,428,,,,
Teymur, تیمور,656,656,,,,
Tural, تورال,637,637,,,,
Turap, تُراب,603,603,,,,
Tüfan, توفان,537,537,,,,
Ubeydullah, عُبیدالله,152,152,,,,
Usame, اُسامه,107,347,,,,
Ümit Rıza, امیدرضا,1056,346,,,,
Üveys, اویس,77,317,,,,
Vacide, واحده,24,24,,,,
Vacit, واجد,14,14,,,,
Vahap, وَهَب,13,13,,,,
Vahhap, وهاب,14,14,,,,
Vahidüddin, وحیدالدین,123,123,,,,
Vahip, واهِب,14,14,,,,
Varan, واران,258,258,,,,
Vasıl, واصل,127,97,,,,
Vecihe, وَجیهه,29,29,,,,
Vefa, وَفا,87,87,,,,
Vehide, وحیده,33,33,,,,
Veliyullah,ولی‌الله,112,112,,,,
Virdan, وِردان,261,261,,,,
Visal, وِصال,127,97,,,,
Visam, وِسام,107,347,,,,
Viyana, ویانا,68,68,,,,
Yakut, یاقوت,517,517,,,,
Yalan, یَلان,91,91,,,,
Yanar, یانار,262,262,,,,
Yanık, یانیک,91,91,,,,
Yarullah, یارالله,277,277,,,,
Yasemen, یاسمن,161,401,,,,
Yaşil, یاشیل,351,1051,,,,
Yaver, یاور,217,217,,,,
Yaz, یاز,18,18,,,,
Yazgül, یازگول,74,74,,,,
Yedullah, یدالله,80,80,,,,
Yegane, یگانه,86,86,,,,
Yemin, یَمین,110,110,,,,
Yeminullah, یَمین‌الله,176,176,,,,
Yenal, یَنال,91,91,,,,
Yezdan, یَزدان,72,72,,,,
Zahir, ظاهر,1106,1006,,,,
Zakir, ذاکر,921,921,,,,
Zaman, زمان,98,98,,,,
Zamane, زمانه,103,103,,,,
Zavoş, زاوش,314,1014,,,,
Zêhir, زاهر,213,213,,,,
Zeka, ذَکا,721,721,,,,
Zemzem, زمزم,94,94,,,,
Zeyniddin, زین‌الدین,162,162,,,,
Zeyt, زِید,21,21,,,,
Zikrullah, ذِکرالله,986,986,,,,
Zinet, زینت,467,467,,,,
Ziver, زیور,223,223,,,,
Ziyaulhak, ضیاء‌الحق,951,241,,,,
Zuhal, زُحَل,45,45,,,,
Zübeyr, زُبیر,219,219,,,,
Zühra, زُهره,217,217,,,,
Hüdavendigar, خداوندگار,886,886,,,,
Beyazit, بايزيد,34,34,,,,
Vahdettin, وحيد الدين,123,123,,,,
Vahdeddin, وحيد الدين,123,123,,,,
Maşite, ماشطه,355,1055,,,,
Azem, عازم,118,118,,,,
sera, سرا,261,501,,,,
Alya, عليا,111,111,,,,
Gülfem, گلفام,171,171,,,,
Mihrimah, مهرماه,291,291,,,,
